0 ['0', 'O', 'C', 'G', 'Q'] [0.0, -10.66, -15.97, -17.33, -18.11] True
e ['e', 'E', 'R', 'C', '2'] [0.0, -16.26, -20.46, -23.49, -25.66] True
1 ['1', 'i', 'L', 'I', 't'] [0.0, -13.74, -15.03, -16.94, -18.33] True
8 ['8', 'e', 'E', 'R', '2'] [-0.0, -3.26, -8.27, -9.43, -11.88] True
0 ['0', 'O', 'Q', 'D', 'U'] [0.0, -14.68, -18.04, -20.67, -22.3] True
l ['1', 'I', 'i', 'L', 'X'] [0.0, -12.38, -13.9, -16.87, -17.86] False
U ['U', 'V', 'N', '4', '2'] [0.0, -11.5, -12.57, -13.13, -13.54] True
O ['O', '0', 'Q', '6', 'C'] [-0.0, -7.04, -12.64, -14.82, -15.15] True
1 ['1', 'L', 'X', 'V', 'i'] [0.0, -18.22, -18.49, -18.58, -18.95] True
7 ['7', '2', 'n', '0', 'i'] [0.0, -18.76, -20.66, -21.67, -21.83] True
7 ['7', 'n', 'V', 'Y', 'X'] [0.0, -20.27, -20.61, -22.91, -22.95] True
5 ['5', 'j', 'F', 'S', 'V'] [0.0, -19.6, -22.3, -22.71, -23.49] True
I ['1', 'I', 'V', 't', 'j'] [0.0, -13.46, -14.8, -14.98, -16.11] True
x ['X', 'U', 'K', 'n', 'd'] [0.0, -10.33, -12.75, -13.06, -13.1] False
9 ['9', 'Q', '4', 'G', '7'] [0.0, -12.17, -17.73, -18.02, -18.34] True
6 ['6', 'U', '4', 'G', 'b'] [0.0, -7.26, -14.82, -14.91, -15.93] True
1 ['1', 'r', 'V', 't', 'i'] [-0.0, -7.19, -13.11, -15.33, -15.73] True
X ['X', 'K', 'R', 'n', 'U'] [-0.0, -4.84, -11.9, -15.21, -16.71] True
S ['S', '5', '9', 'O', 'G'] [-0.0, -6.16, -16.06, -17.1, -18.73] True
6 ['6', 'G', 'C', 'a', 'Q'] [0.0, -12.37, -17.15, -17.3, -17.32] True
2 ['2', 'd', 'a', 'Q', '3'] [0.0, -20.72, -21.25, -21.4, -21.71] True
v ['V', 'Y', 'W', 'N', 'M'] [0.0, -10.02, -12.38, -15.17, -16.25] False
1 ['1', 'I', 'L', 'i', 'P'] [-0.0, -5.57, -10.14, -12.41, -13.2] True
4 ['4', 'Y', 'd', 'W', 't'] [0.0, -16.76, -18.38, -19.29, -19.39] True
8 ['8', 'V', 'X', 'Y', 'N'] [0.0, -10.28, -12.54, -13.22, -14.37] True
5 ['5', '9', 'F', 'G', '4'] [0.0, -12.33, -14.68, -14.9, -15.88] True
F ['F', 'E', '7', '4', '8'] [0.0, -7.59, -14.85, -16.04, -16.1] True
0 ['0', 'O', 'Q', 'G', 'D'] [0.0, -15.02, -19.37, -21.79, -24.24] True
3 ['3', 'D', 'X', '9', 'a'] [0.0, -20.34, -22.62, -24.28, -24.65] True
O ['O', 'a', 'C', '0', 'S'] [0.0, -10.15, -12.01, -14.03, -16.26] True
e ['e', 'E', 'R', '8', 'C'] [0.0, -15.19, -17.04, -24.51, -24.8] True
J ['3', 'j', 'Y', 'S', 'I'] [-0.0, -5.31, -7.37, -9.07, -10.17] False
T ['T', 'F', '5', 'S', 'G'] [0.0, -12.72, -13.76, -13.91, -13.99] True
E ['E', '5', 'F', '8', 'G'] [0.0, -12.05, -13.12, -14.12, -17.94] True
4 ['4', 't', 'A', 'P', '0'] [0.0, -10.85, -11.27, -15.77, -17.67] True
n ['n', '7', 'A', 'h', 'a'] [0.0, -14.66, -15.88, -19.31, -19.64] True
7 ['7', 'P', 'Y', 'N', 'V'] [0.0, -14.99, -15.71, -17.33, -18.47] True
0 ['0', 'O', 'D', 'C', 'n'] [-0.0, -3.99, -7.75, -15.01, -15.85] True
5 ['5', '8', 'S', 'E', '6'] [0.0, -13.24, -14.54, -15.32, -18.23] True
M ['M', 'R', 'N', 'n', 'A'] [0.0, -9.53, -10.68, -10.92, -13.56] True
7 ['7', 'V', 'Y', 'U', 'T'] [0.0, -13.84, -14.29, -15.31, -16.35] True
S ['S', '5', 'G', 'I', 'j'] [0.0, -10.54, -15.35, -19.17, -19.67] True
I ['1', 'I', 'r', 'i', 't'] [0.0, -8.05, -13.44, -13.49, -15.17] True
h ['h', 'A', 'K', 'R', '4'] [0.0, -7.68, -13.55, -15.12, -17.0] True
4 ['4', '7', 'U', '5', 'Y'] [0.0, -18.53, -19.19, -21.16, -21.8] True
f ['F', 'G', '5', 'S', '3'] [-0.0, -7.09, -9.81, -15.35, -15.65] False
h ['h', 'A', 'K', 'L', 'b'] [0.0, -12.45, -16.1, -19.19, -19.28] True
8 ['8', 'O', 'r', 't', 'X'] [0.0, -19.47, -19.52, -20.23, -21.59] True
3 ['3', 'a', 'j', '9', '2'] [0.0, -17.88, -21.38, -22.04, -22.43] True
E ['E', '2', 'S', '8', 'D'] [-0.01, -1.9, -4.26, -6.58, -6.82] True
n ['n', 'D', 'A', 'N', 'R'] [0.0, -12.86, -14.89, -17.34, -17.84] True
0 ['0', 'O', 'Q', 'V', '6'] [0.0, -12.18, -16.16, -16.63, -18.19] True
T ['T', 't', 'I', 'j', 'F'] [0.0, -8.16, -13.27, -15.6, -16.34] True
7 ['7', '2', '3', 'n', '9'] [0.0, -14.88, -17.74, -19.44, -19.81] True
1 ['1', 'i', 'V', 'X', 'r'] [0.0, -13.94, -15.68, -16.32, -16.62] True
1 ['1', 'i', 'I', 'V', 'r'] [0.0, -15.2, -15.7, -15.74, -17.11] True
E ['E', '5', 'F', 't', '8'] [0.0, -12.11, -12.45, -15.9, -17.26] True
4 ['4', 'A', 'U', 'Y', 'd'] [0.0, -19.38, -20.76, -21.56, -21.66] True
P ['P', 'R', 'A', 'F', '9'] [0.0, -12.86, -13.14, -16.58, -17.88] True
1 ['1', 'I', 'V', 'i', 'r'] [0.0, -13.75, -14.2, -15.01, -16.94] True
8 ['8', '3', 'R', 'X', 'O'] [0.0, -17.07, -22.17, -23.01, -23.75] True
a ['U', 'a', 'n', '0', 'M'] [-0.03, -1.14, -8.87, -9.28, -9.52] True
6 ['6', 'b', 'W', 'G', 'E'] [0.0, -16.66, -19.72, -21.24, -21.79] True
h ['h', 'L', 'b', 'i', 'W'] [0.0, -9.11, -11.55, -12.3, -13.97] True
C ['C', 'O', 'G', 'e', '6'] [0.0, -16.87, -17.64, -17.99, -18.29] True
5 ['5', 'E', 'F', 'j', 'G'] [0.0, -19.58, -20.19, -20.77, -21.16] True
U ['U', 'W', '4', 'L', 'a'] [0.0, -16.71, -16.98, -19.67, -20.02] True
6 ['6', 'C', '4', 'S', 'G'] [0.0, -12.76, -13.18, -14.27, -14.44] True
S ['S', '5', 'G', 'j', '9'] [-0.0, -5.02, -13.46, -17.71, -18.74] True
8 ['8', 'S', 'R', '9', 'O'] [0.0, -15.27, -20.58, -20.59, -20.87] True
6 ['6', 'G', 'Q', '0', 'h'] [0.0, -19.0, -20.26, -22.09, -23.37] True
p ['P', 'R', 'F', 'A', 'Q'] [0.0, -10.43, -14.53, -15.3, -18.82] False
s ['S', 'G', 'O', '5', '3'] [0.0, -15.51, -16.42, -17.66, -18.64] False
h ['h', 'A', 'K', 'N', 'M'] [0.0, -11.11, -14.62, -15.7, -17.1] True
F ['F', 'P', 'r', '5', 'A'] [-0.0, -2.83, -5.2, -6.11, -7.34] True
k ['K', 'R', 'h', 'X', 'A'] [-0.05, -0.95, -5.17, -7.89, -9.94] False
J ['j', '3', 'I', 'D', 'b'] [-0.02, -1.32, -2.94, -5.95, -6.36] False
n ['n', 'D', 'a', 'N', 'O'] [0.0, -13.26, -14.03, -14.36, -15.63] True
L ['L', 'h', 'K', '1', 'R'] [-0.0, -5.25, -9.64, -10.43, -12.7] True
2 ['2', 'L', 'd', 'U', 'I'] [0.0, -9.91, -11.61, -15.31, -16.63] True
F ['F', '4', 't', 'Y', '1'] [0.0, -7.67, -8.99, -12.47, -12.78] True
6 ['6', 'b', 'G', '5', 'E'] [0.0, -14.32, -15.89, -18.13, -20.37] True
C ['C', '2', 'O', 'e', 'a'] [0.0, -17.82, -18.16, -18.43, -20.57] True
M ['M', 'N', 'A', 'R', 'P'] [0.0, -12.31, -12.49, -13.17, -13.97] True
9 ['9', '4', 'Q', 'A', 'G'] [0.0, -18.81, -19.16, -19.75, -21.8] True
8 ['8', '3', 'R', 'S', '9'] [0.0, -12.39, -13.45, -17.48, -20.1] True
V ['V', 'j', '8', 'Y', 'd'] [0.0, -10.82, -10.86, -11.12, -12.15] True
l ['1', 'I', 'X', 'V', 'C'] [0.0, -13.29, -13.87, -15.84, -16.93] False
F ['F', 'P', '0', 'E', 'G'] [0.0, -15.73, -17.06, -17.14, -17.16] True
w ['W', 'U', 'V', 'N', 'M'] [0.0, -15.51, -20.9, -22.27, -22.52] False
7 ['7', '2', 'i', 'n', '3'] [0.0, -16.59, -17.55, -17.92, -18.32] True
D ['D', 'O', 'P', 'n', 'a'] [0.0, -9.01, -9.03, -9.63, -9.95] True
1 ['1', 'V', 'Y', 'O', 'I'] [0.0, -15.15, -17.04, -17.51, -17.55] True
I ['I', '1', 't', 'V', '7'] [0.0, -10.4, -12.45, -16.78, -17.43] True
7 ['7', 't', 'n', 'N', '0'] [0.0, -16.86, -19.1, -19.35, -20.0] True
t ['t', '4', '7', 'F', 'K'] [0.0, -12.51, -15.12, -17.16, -19.55] True
S ['S', '9', '5', 'e', '3'] [0.0, -8.0, -15.02, -16.3, -16.52] True
7 ['7', 'P', 'T', '3', 'n'] [0.0, -14.83, -18.82, -18.97, -20.01] True
a ['a', '9', '4', 'A', 'Q'] [0.0, -11.9, -13.42, -14.87, -15.53] True
